epoch,train_loss,val_loss,val_mass_dice
1,0.6350,0.5472,0.1870
2,0.5737,0.5738,0.1664
3,0.5260,0.4908,0.2426
4,0.4965,0.5205,0.2920
5,0.4732,0.5413,0.4101
6,0.4599,0.4382,0.5422
7,0.4460,0.4425,0.4680
8,0.4343,0.4338,0.4725
9,0.4248,0.4434,0.5545
10,0.4154,0.4168,0.6527
11,0.4065,0.4471,0.5917
12,0.4000,0.4128,0.6306
13,0.3940,0.4254,0.5757
14,0.3893,0.4172,0.4279
15,0.3814,0.4203,0.5902
16,0.3767,0.4105,0.7149
17,0.3688,0.4360,0.5380
18,0.3776,0.4168,0.6346
19,0.3700,0.4117,0.5640
20,0.3650,0.4094,0.6373
21,0.3604,0.4348,0.6303
22,0.3579,0.4080,0.6616
23,0.3541,0.4136,0.6488
24,0.3520,0.4157,0.6355
25,0.3535,0.4453,0.5791
26,0.3496,0.4064,0.5964
27,0.3470,0.4058,0.6956
28,0.3471,0.5382,0.6790
29,0.3454,0.4293,0.6075
30,0.3404,0.4214,0.6897
31,0.3390,0.4540,0.4170
32,0.3410,0.4211,0.6099
33,0.3393,0.4134,0.6704
34,0.3356,0.4125,0.6458
35,0.3345,0.4132,0.7459
36,0.3290,0.4000,0.7440
37,0.3332,0.4076,0.6954
38,0.3287,0.4009,0.7349
39,0.3246,0.4036,0.6662
40,0.3248,0.4044,0.7358
41,0.3243,0.4253,0.5921
42,0.3276,0.4159,0.4757
43,0.3228,0.4032,0.6700
44,0.3251,0.4230,0.4568
45,0.3213,0.4106,0.6851
46,0.3190,0.4254,0.7181
47,0.3235,0.3964,0.7572
48,0.3187,0.4129,0.5783
49,0.3152,0.3949,0.7080
50,0.3197,0.4550,0.4076
