epoch,train_loss,val_loss,val_mass_dice
1,0.6278,0.5805,0.1543
2,0.5690,0.6434,0.0872
3,0.5300,0.7306,0.1576
4,0.4996,0.4816,0.3963
5,0.4760,0.6866,0.1368
6,0.4615,0.4465,0.4099
7,0.4493,0.4637,0.2745
8,0.4346,0.6936,0.1818
9,0.4234,0.4335,0.6726
10,0.4167,0.5485,0.3703
11,0.4088,0.4339,0.2708
12,0.4022,0.6029,0.2513
13,0.3953,0.4584,0.4057
14,0.3918,0.4268,0.6174
15,0.3852,0.4418,0.3052
16,0.3797,0.4818,0.2636
17,0.3744,0.4086,0.5443
18,0.3709,0.4104,0.4757
19,0.3660,0.5141,0.2519
20,0.3637,0.4148,0.5046
21,0.3619,0.4103,0.5899
22,0.3600,0.4339,0.3430
23,0.3597,0.4477,0.4664
24,0.3548,0.4409,0.4243
25,0.3543,0.4225,0.4501
26,0.3458,0.4572,0.5864
27,0.3486,0.4167,0.5835
28,0.3477,0.4350,0.6214
29,0.3432,0.4369,0.6191
30,0.3420,0.4039,0.5487
31,0.3413,0.4194,0.5252
32,0.3406,0.4021,0.7156
33,0.3345,0.4594,0.3212
34,0.3329,0.3997,0.6889
35,0.3340,0.4250,0.7271
36,0.3363,0.3971,0.6947
37,0.3313,0.4256,0.7059
38,0.3350,0.4266,0.4470
39,0.3244,0.4228,0.5360
40,0.3261,0.4221,0.5917
41,0.3267,0.4281,0.7406
42,0.3267,0.4210,0.7314
43,0.3229,0.4319,0.3936
44,0.3255,0.4055,0.6513
45,0.3252,0.4424,0.3573
46,0.3190,0.4259,0.4532
47,0.3232,0.4102,0.6341
48,0.3225,0.4120,0.7368
49,0.3127,0.4099,0.6036
50,0.3185,0.4221,0.7213
